289,Brian Frasure,United States,Sprinting,2000,Nandrolone,4 years
290,Jake Freeman,United States,Hammer throw,20092011,CannabisCannabis,Public warning1 year
291,Margarita Fuentes-Pila,Spain,Middle distance,2015,"",6 months
292,Ruth Fuchs,East Germany,Javelin throw,1970's,Anabolic steroids (self-admitted),—
293,Chryste Gaines,United States,Sprinting,20032005,Modafinil (positive test)THG (investigation: BALCO),Public warning2 years
294,Anton Galkin,Russia,Sprinting,2004,Stanozolol,2 years
295,Miguel Ángel Gamonal,Spain,Half marathon,20132015,ClenbuterolBiological passport,2 years3 years
296,Alberto García,Spain,"Long distance, cross country",2003,EPO,2 years
297,Sandra Gasser,Switzerland,Middle distance,1987,Steroids,2 years
298,Justin Gatlin,United States,Sprinting,2001 2006,Amphetamine Testosterone,1 year (Reduced from 2 years) 4 years
299,Tyson Gay,United States,Sprinting,2013 2012–2013,Positive test: Exogenous anabolic-androgenic steroid Investigation/Admittance,1 year
300,Tibor Gécsek,Hungary,Hammer throw,1995,Anabolic steroids,2 years (Reduced from 4 years)
301,Ines Geipel,East Germany,Sprinting,1980's,Turinabol (self-admitted),—
302,Shitaye Gemechu,Ethiopia,Long distance,2009,EPO,2 years
303,Ivan Gertlein,Russia,Pole vault,2012,Testosterone,2 years
304,Nordine Gezzar,France,Middle/Long distance,20062012,"Finasteride, nandroloneEPO",2 years10 years
305,Rachid Ghanmouni,Morocco,Long distance,2006,Evading doping control,2 years
306,Ruqaya Al-Ghasra,Bahrain,Sprinting,2009,Epitestosterone,2 years
307,Alina Gherasim (Alina Tecuţa),Romania,Long distance,2002,Anabolic steroids,2 years
308,Bouchra Ghezielle,France,Middle distance,2008,EPO,4 years
309,Patricia Girard,France,Sprinting,1990,Primobolan (anabolic steroid),2 years
310,Sandra Glover,United States,Sprinting,2003,Modafinil,Disqualification and public warning
311,Geronimo Goeloe,Netherlands Antilles,Sprinting,2008,Stanozolol,2 years
312,Thomas Goller,Germany,Hurdling,2010,"Boldenone, SARMs",2 years
313,Olga Golovkina,Russia,Long distance,2013,Dehydrochloromethyltestosterone,2 years
314,Vanda Gomes,Brazil,Sprinting,2014,Anastrozole,2 years
